"Source","Target","Weight"
"Cre11.g469400","Cre03.g150400",0.102390315912741
"Cre11.g480079","Cre03.g150400",0.139347375154167
"Cre12.g489350","Cre03.g150400",0.13933360389488
"Cre12.g514300","Cre03.g150400",0.166217454135844
"Cre12.g535800","Cre03.g150400",0.138712308070309
"Cre12.g541750","Cre03.g150400",0.160177458986341
"Cre12.g553600","Cre03.g150400",0.167061340275088
"Cre13.g568316","Cre03.g150400",0.239588068770673
"Cre13.g588800","Cre03.g150400",0.192733860845666
"Cre13.g602300","Cre03.g150400",0.193858968438133
"Cre14.g611517","Cre03.g150400",0.168131703164217
"Cre14.g625350","Cre03.g150400",0.164162327435656
"Cre16.g650300","Cre03.g150400",0.114826183078873
"Cre16.g654950","Cre03.g150400",0.172029102892594
"Cre16.g683250","Cre03.g150400",0.105233443541608
"Cre17.g709876","Cre03.g150400",0.175993708948386
"Cre17.g719522","Cre03.g150400",0.105347986295407
"Cre17.g736329","Cre03.g150400",0.110897170676891
"Cre17.g746147","Cre03.g150400",0.161402837962689
"Cre01.g009500","Cre03.g172800",0.179692468397366
"Cre01.g010350","Cre03.g172800",0.208670267741792
"Cre01.g030650","Cre03.g172800",0.172560115763589
"Cre02.g090150","Cre03.g172800",0.175450215829475
"Cre02.g095102","Cre03.g172800",0.164732665971725
"Cre02.g112600","Cre03.g172800",0.19063026247244
"Cre03.g150400","Cre03.g172800",0.103954210923229
"Cre03.g173000","Cre03.g172800",0.169576418725438
"Cre03.g200991","Cre03.g172800",0.164125969360322
"Cre04.g218450","Cre03.g172800",0.164588599375292
"Cre04.g224350","Cre03.g172800",0.134602847810174
"Cre04.g229000","Cre03.g172800",0.178712655704013
"Cre04.g230928","Cre03.g172800",0.123275786036485
"Cre05.g238100","Cre03.g172800",0.109630266033495
"Cre05.g244850","Cre03.g172800",0.141347173386564
"Cre06.g264400","Cre03.g172800",0.235020677970541
"Cre06.g270500","Cre03.g172800",0.219009727540661
"Cre06.g275150","Cre03.g172800",0.208142413550584
"Cre06.g278134","Cre03.g172800",0.11862665962377
"Cre06.g278228","Cre03.g172800",0.235195237507496
