"","SRR393780_FPKM","SRR393781_FPKM","SRR393782_FPKM","SRR393783_FPKM","SRR393784_FPKM","SRR393785_FPKM","SRR393786_FPKM","SRR393787_FPKM"
"Cre14.g617276",3.63040547148232,4.31561694691085,4.51461464971596,5.20294658668737,3.3064489087722,4.00236948308762,1.98464038604995,2.87926073599993
"Cre14.g617300",3.56698558892694,3.21530428593921,3.07487873507102,3.21683198088157,3.1509544141165,3.15904947276713,2.78374579301782,2.75779560718792
"Cre14.g617350",3.64462926715041,3.35013228394415,4.43195718768673,4.34190749241671,4.03948059849254,3.82532771787134,3.75450273218095,3.51275784218733
"Cre14.g617400",8.20273604325017,8.09921629164282,9.5901640967694,9.58979344296635,8.0063485218318,7.88498857765124,8.0511491106621,7.81454401488751
"Cre14.g617450",8.60726002689446,8.59878204013353,9.9971512478817,10.0055263078599,8.61373422301776,8.50039974376858,8.92123398511205,8.64110884822132
"Cre14.g617500",3.20948143942146,3.20928959095043,3.90672708090454,3.96637509156184,3.75885746128547,3.3646032468123,3.63901215284856,4.02774679385058
"Cre14.g617550",3.74674271577774,4.10768786931437,4.90558195876639,5.28137555470981,4.65470476074871,4.64539616587745,5.27091012231556,5.26003695050264
"Cre14.g617600",4.78555578267626,4.79087106338601,3.4808984244042,2.9286848862623,2.73454488620425,3.05164182045298,3.31502127673006,2.99064088127466
"Cre14.g617650",2.03686901629734,1.54379775372001,1.59746919838488,1.61451197522685,2.41464160551284,2.29624300622352,2.54601530533797,2.55291066627449
"Cre14.g617700",2.02551079388078,1.92876067438061,1.79065111326773,1.73067907931962,2.33334644442059,1.98300269842856,1.09633607774137,1.8267457480515
"Cre14.g617750",1.43489772791842,1.67755785343343,2.11762190880944,1.75864856380264,2.3872136311402,2.12937864384693,2.72335759676604,2.13696569172341
"Cre14.g617800",5.96379083475487,5.81114217366931,5.99997971195834,5.8410422099282,5.58599305838663,5.56147278160965,5.49089097889429,5.86530519235625
"Cre14.g617826",7.31460590126222,7.33587266126146,6.98633128900559,6.97666149309498,7.32339709231669,7.13619138628714,6.7714894695006,6.77047229161411
"Cre14.g617850",1.33567761446811,2.30068311814094,2.36727879731754,2.28316615919774,2.00318123930032,2.19858530142679,1.00912498154732,2.10899607823501
"Cre14.g617900",11.7510293167789,11.6402720542953,11.6299120964467,11.5693287386185,11.541193437271,11.392569657673,11.0725145026053,11.0247933847025
"Cre14.g617950",1.36652085530532,2.21003344635049,2.78034789841826,2.24704644116918,2.29988349950738,2.1914110460586,1.48649299695054,1.81227230521908
"Cre14.g618000",2.55783647570086,2.84081970922796,2.54390908337651,3.02746903149033,3.11800914368503,2.98968037067314,3.07996172769632,3.09985062758694
"Cre14.g618050",3.29920508719438,3.47904943675807,3.04972311119089,3.38387567792017,2.6199575868105,3.27127028217736,1.56004969424827,2.71520589543924
"Cre14.g618100",2.560152438283,2.27380231157622,2.14610123555934,2.50968064225675,1.83182861020213,2.1209722852929,2.16489244938452,2.12916759672482
"Cre14.g618150",1.38448641853055,1.54754360374173,1.77112495312837,1.82522390482158,3.16354703599569,2.6572558450846,3.14499099290865,3.4705889235143
